c_no	r_no	c_sex	c_name	c_birth	c_seat	c_division
521	159	1	Jo Yoonsun	2002-02-01	a1	1
522	160	0	Jo Yoonhyung	2002-02-03	e10	1
523	160	1	Jo Yongcheon	2001-02-01	f10	1
524	160	0	Jo Oncheon	2003-06-05	g10	1
525	160	1	Lee Gahyuk	2001-02-02	g20	1
526	161	0	Lee Kanggil	2017-09-01	g18	2
527	161	1	Lee Kangguk	1994-02-05	e13	1
528	161	1	Lee Kangdon	1992-05-05	a13	1
529	161	1	Lee Kangwoo	1990-05-01	e15	1
530	162	0	Lee Kangwook	1990-05-05	g12	1
531	162	1	Lee Kangjoo	2014-12-03	a4	2
532	162	0	Lee Kanghoon	1997-05-06	a1	1
533	162	1	Lee Gungun	2012-06-09	d1	2
534	163	0	Lee Gunmyung	1992-08-09	a13	1
535	163	1	Lee Gunhee	2020-09-02	a16	3
536	164	0	Lee Kyongwoo	2005-05-06	c20	1
537	164	1	Lee Kyongsoo	2013-02-06	a6	2
538	164	0	Lee Gehhjin	2005-05-05	b2	1
539	164	1	Lee Gehhin	2005-05-05	a1	1
540	164	0	Lee Gwanggil	1995-01-06	a7	1
541	165	1	Lee Gwangyeon	2000-06-06	a4	1
542	165	1	Lee Dabin	1997-09-04	d3	1
543	165	1	Lee Dayeon	2017-05-06	a12	2
544	166	1	Lee Dayoung	2002-02-01	e1	1
545	166	0	Lee Dahee	2003-02-03	a8	1
546	166	1	Lee Daegun	2004-02-06	a1	1
547	166	0	Lee Daesung	2001-02-01	a2	1
548	167	1	Lee Daeyeol	2013-02-06	a9	2
549	167	0	Lee Daewon	1998-12-04	b1	1
550	167	1	Lee Donggun	2012-06-02	c12	2
551	167	0	Lee Dongguk	1996-02-10	c10	1
552	168	1	Lee Donggun	2020-11-14	e20	3
553	168	0	Lee Roobi	2001-02-03	g1	1
554	168	1	Lee Rinrin	2014-12-03	a4	2
555	168	0	Lee Rooda	1998-05-05	b2	1
556	169	0	Lee Mahkeoo	1997-09-04	a5	1
557	169	1	Lee Manki	1999-02-05	b6	1
558	169	1	Lee Manjung	2001-02-03	c7	1
559	169	1	Lee Malnyeon	2002-02-01	g9	1
560	170	0	Lee Maenghee	2002-02-03	a1	1
561	170	1	Lee Myungbak	2018-05-07	a15	2
562	170	0	Lee Mina	1998-02-05	b20	1
563	170	1	Lee Mikyong	1994-02-05	e12	1
564	171	0	Lee Minjung	1992-05-05	d1	1
565	171	1	Lee Mijoo	1990-05-01	d14	1
566	171	0	Lee Bongwon	2016-02-01	a12	2
567	171	1	Lee Boojin	1995-09-18	a16	1
568	172	0	Lee Sahrang	2017-05-06	g19	2
569	172	1	Lee Sansan	1993-06-15	a18	1
570	172	0	Lee Sanggun	2020-11-14	b18	3
571	172	1	Lee Sangdong	1990-06-06	c18	1
572	173	1	Lee Yerin	2018-06-01	f5	2
573	173	1	Lee Youngheung	2004-05-06	f15	1
574	173	1	Lee Onon	2005-05-05	d1	1
575	174	0	Lee Oryeong	2005-05-05	g10	1
576	174	1	Lee Yeonbok	1995-01-06	g12	1
577	175	0	Lee Yeonhee	2000-06-06	e10	1
578	175	1	Lee Younggun	2012-06-09	e12	2
579	176	1	Lee Yangwoo	2001-02-03	g20	1
580	176	1	Lee Ahyun	2002-02-01	g5	1
581	176	0	Lee Ain	2003-02-03	g4	1
582	177	1	Lee Ayoung	2004-02-06	g20	1
583	177	0	Lee Arin	2015-06-09	g1	2
584	177	1	Lee Jaeyoon	2002-02-01	g12	1
585	177	0	Lee Jaeyul	2012-06-02	e3	2
586	178	1	Lee Jaehyun	1997-12-01	a10	1
587	178	0	Lee Jaehong	2017-06-04	b14	2
588	178	1	Lee Jaehwa	1998-12-01	c20	1
589	179	0	Lee Jaehwang	2020-11-14	d5	3
590	179	1	Lee Jaehee	2005-06-05	d12	1
591	179	0	Lee Chaeeun	2018-06-01	g12	2
592	180	1	Lee Changwon	1997-09-04	d10	1
593	180	1	Park Changwon	1999-02-05	e20	1
594	180	0	Lee Myungseo	2001-02-03	g10	1
595	181	1	Ryu Gabae	2002-02-01	a9	1
596	181	1	Lee Chungsung	2002-02-03	d3	1
597	181	1	Lee Kwaedae	2002-01-01	e5	1
598	181	0	Lee Changho	2017-09-01	f9	2
599	181	1	Lee Cheonga	1998-02-05	g1	1
600	182	0	Kim Cheonga	1996-06-06	b1	1
601	182	1	Jo Asung	1991-06-09	e9	1
602	182	0	Lee Changsoo	1988-02-01	b2	1
603	183	1	Lee Cheongsub	2016-02-01	a8	2
604	183	0	No Younghee	1989-02-02	a3	1
605	183	1	No Jangjin	2012-06-09	b3	2
606	184	0	No Minhyuk	2000-05-05	a4	1
607	184	1	No Minhyuk	2020-11-06	a19	3
608	184	0	No Soosin	1999-01-13	b12	1
609	185	1	No Siksik	2018-05-07	e2	2
610	185	1	No Sihwa	1991-06-09	f3	1
611	185	0	No Jungeui	1996-09-18	g4	1
612	185	1	No Jongmyun	1993-07-15	e5	1
613	186	1	No Jihoon	2005-05-16	e12	1
614	186	1	No Jihye	2005-05-15	g20	1
615	186	0	No Taehyun	2017-05-06	g18	2
616	186	1	No Hyungwook	1998-02-05	e1	1
617	187	0	Kang Hyungwook	1996-06-06	a12	1
618	187	1	No Jungeui	1991-06-09	b20	1
619	187	0	No Heejun	1992-02-05	d1	1
620	188	1	No Jungyoo	2017-09-01	d10	2
621	188	0	An Sungki	2000-05-05	e2	1
622	188	1	An Naesang	2015-06-09	g3	2
623	189	0	An Chiyong	2000-05-05	e3	1
624	189	1	An Chihong	2020-10-01	a2	3
625	189	0	An Jiman	1991-06-09	a14	1
626	189	1	An Sohee	2015-06-09	b3	2
627	190	1	An Seihah	1993-07-15	b12	1
628	190	1	An Seungho	2005-05-16	a2	1
629	190	1	An Chilhyun	2005-05-16	a5	1
						
						
						
						
						
						
						
